trait_label,pgs_id,trained_bucket,metric,target_ancestry,tgt_log,tgt_se,tgt_k,eur_log,eur_se,eur_k,is_pooled,delta,delta_se
Type 2 diabetes,PGS000713,Train: European-only,OR,South Asian,0.4637340162321402,0.03363574773081699,1,0.4885800148186709,0.010923468669114315,1,FALSE,-0.024845998586530693,0.03536503489573116
Type 2 diabetes,PGS000729,Train: European-only,OR,East Asian,0.3364722366212129,0.1256317564024985,1,0.5007752879124892,0.010857044494590766,1,FALSE,-0.16430305129127626,0.12610001440100727
Type 2 diabetes,PGS000729,Train: European-only,OR,Hispanic or Latin American,0.371563556432483,0.019295258725923494,1,0.5007752879124892,0.010857044494590766,1,FALSE,-0.12921173148000614,0.022140063786219098
Type 2 diabetes,PGS000729,Train: European-only,OR,South Asian,0.4382549309311553,0.034503583146930826,1,0.5007752879124892,0.010857044494590766,1,FALSE,-0.06252035698133385,0.03617143438038769
Type 2 diabetes,PGS000805,Train: European-only,OR,East Asian,0.5306282510621704,0.11989888501166725,1,0.4637340162321402,0.011197498356434995,1,FALSE,0.06689423483003015,0.12042062363434002
Type 2 diabetes,PGS000805,Train: European-only,OR,Hispanic or Latin American,0.3987761199573678,0.01877852483246073,1,0.4637340162321402,0.011197498356434995,1,FALSE,-0.06495789627477244,0.021863599070731897
Type 2 diabetes,PGS000805,Train: European-only,OR,South Asian,0.4762341789963717,0.034696876959911895,1,0.4637340162321402,0.011197498356434995,1,FALSE,0.012500162764231493,0.036458980241000014
Type 2 diabetes,PGS000864,Train: European-only,OR,East Asian,0.04879016416943205,0.1183574782626972,1,0.29266961396282004,0.009484439602488279,1,FALSE,-0.243879449793388,0.11873688245561313
Type 2 diabetes,PGS000864,Train: European-only,OR,Hispanic or Latin American,0.01980262729617973,0.017428378565682977,1,0.29266961396282004,0.009484439602488279,1,FALSE,-0.27286698666664033,0.019841949853832558
Type 2 diabetes,PGS000864,Train: European-only,OR,South Asian,0.20701416938432612,0.031022227575200765,1,0.29266961396282004,0.009484439602488279,1,FALSE,-0.08565544457849392,0.03243968554565218
Type 2 diabetes,PGS000868,Train: European-only,OR,East Asian,0.45107561936021673,0.12194790840382648,1,0.3920420877760237,0.010343391427130096,1,FALSE,0.059033531584193055,0.12238577576778635
Type 2 diabetes,PGS000868,Train: European-only,OR,Hispanic or Latin American,0.3220834991691132,0.018493750519937097,1,0.3920420877760237,0.010343391427130096,1,FALSE,-0.06995858860691045,0.021189727570417274
Type 2 diabetes,PGS000868,Train: European-only,OR,South Asian,0.3987761199573678,0.03429343599222957,1,0.3920420877760237,0.010343391427130096,1,FALSE,0.006734032181344107,0.03581934530903622
