catalog_snapshot,trait_label,trained_bucket,target_ancestry,side,evaluation_ancestry,pgs_id,pgs_name,dev_method,n_variants,performance_id,sampleset_id,auc,estimate_ci_lower,estimate_ci_upper,ci_source,n_individuals,n_cases,n_controls,pct_male,covariates_txt,cohort_txt,or_txt,hr_txt,catalog_all_of_us
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS001336,GBE_cancer1002,snpnet,555,PPM009168,PSS007618,0.80561,0.79545,0.81577,reported_native_or_parsed,24905,954,23951,NA,"age, sex, UKB array type, Genotype PCs",UKB,NA,NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS001336,GBE_cancer1002,snpnet,555,PPM009170,PSS007620,0.80961,0.80348,0.81573,reported_native_or_parsed,67425,2471,64954,NA,"age, sex, UKB array type, Genotype PCs",UKB,NA,NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,Target,South Asian,PGS001336,GBE_cancer1002,snpnet,555,PPM009169,PSS007619,0.83564,0.81289,0.85838,reported_native_or_parsed,7831,161,7670,NA,"age, sex, UKB array type, Genotype PCs",UKB,NA,NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS003983,dbslmm.auto.GCST004988.Breast_cancer,DBSLMM-auto,1137459,PPM019389,PSS011215,0.63153585,0.6209314,0.6421403,reported_native_or_parsed,130758,2685,128073,0,0,EB,"1.6050758 [1.54448557,1.66804298]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS003983,dbslmm.auto.GCST004988.Breast_cancer,DBSLMM-auto,1137459,PPM019390,PSS011227,0.64804283,0.64364562,0.65244004,reported_native_or_parsed,217530,16076,201454,0,0,FinnGen,"1.71524768 [1.68709681,1.74386827]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS003983,dbslmm.auto.GCST004988.Breast_cancer,DBSLMM-auto,1137459,PPM019392,PSS011254,0.64270938,0.62948583,0.65593293,reported_native_or_parsed,35377,1729,33648,0,0,HUNT,"1.70143286 [1.61964223,1.78735386]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS003983,dbslmm.auto.GCST004988.Breast_cancer,DBSLMM-auto,1137459,PPM019394,PSS011268,0.65328709,0.64349623,0.66307795,reported_native_or_parsed,48968,3120,45848,0,0,UKB,"1.75801307 [1.6931535,1.82535722]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,Target,South Asian,PGS003983,dbslmm.auto.GCST004988.Breast_cancer,DBSLMM-auto,1137459,PPM019391,PSS011238,0.61682903,0.57775913,0.65589892,reported_native_or_parsed,24319,197,24122,0,0,G&H,"1.53934496 [1.33718466,1.77206857]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,Target,South Asian,PGS003983,dbslmm.auto.GCST004988.Breast_cancer,DBSLMM-auto,1137459,PPM019393,PSS011282,0.60326474,0.56283686,0.64369262,reported_native_or_parsed,4350,196,4154,0,0,UKB,"1.46699809 [1.26742431,1.69799758]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS003999,lassosum.auto.GCST004988.Breast_cancer,lassosum.auto,13086,PPM019425,PSS011215,0.63946833,0.62889119,0.65004547,reported_native_or_parsed,130758,2685,128073,0,0,EB,"1.65454252 [1.59239759,1.71911272]",NA,FALSE
