trait_id,trait_label,efo_id,efo_label,reported_trait,n_rows
custom:er_positive_breast_cancer,ER-positive breast cancer,NA,NA,ER-positive breast cancer,5
custom:facial_nerve_disorders_cn7,Facial nerve disorders CN7,NA,NA,Facial nerve disorders CN7,5
custom:fasciitis,Fasciitis,NA,NA,Fasciitis,5
custom:fever_of_unknown_origin,Fever of unknown origin,NA,NA,Fever of unknown origin,5
custom:frequency_of_urination_and_polyuria,Frequency of urination and polyuria,NA,NA,Frequency of urination and polyuria,5
custom:generalized_anxiety_disorder,Generalized anxiety disorder,NA,NA,Generalized anxiety disorder,5
custom:gingival_and_periodontal_diseases,Gingival and periodontal diseases,NA,NA,Gingival and periodontal diseases,5
custom:gingivitis,Gingivitis,NA,NA,Gingivitis,5
custom:hearing_loss,Hearing loss,NA,NA,Hearing loss,5
custom:hemangioma_and_lymphangioma_any_site,Hemangioma and lymphangioma any site,NA,NA,Hemangioma and lymphangioma any site,5
custom:hematuria,Hematuria,NA,NA,Hematuria,5
custom:hepatitis_nos,Hepatitis NOS,NA,NA,Hepatitis NOS,5
custom:hereditary_hemolytic_anemias,Hereditary hemolytic anemias,NA,NA,Hereditary hemolytic anemias,5
custom:high_myopia_hm6_,High myopia (HM6),NA,NA,High myopia (HM6),5
custom:hypercholesterolemia,Hypercholesterolemia,NA,NA,Hypercholesterolemia,5
custom:hyperglyceridemia,Hyperglyceridemia,NA,NA,Hyperglyceridemia,5
custom:hyperlipidemia,Hyperlipidemia,NA,NA,Hyperlipidemia,5
custom:hyperplasia_of_prostate,Hyperplasia of prostate,NA,NA,Hyperplasia of prostate,5
custom:impaired_fasting_glucose,Impaired fasting glucose,NA,NA,Impaired fasting glucose,5
custom:incident_prostate_cancer,Incident prostate cancer,NA,NA,Incident prostate cancer,5
custom:inflammatory_and_toxic_neuropathy,Inflammatory and toxic neuropathy,NA,NA,Inflammatory and toxic neuropathy,5
custom:intracerebral_hemorrhage,Intracerebral hemorrhage,NA,NA,Intracerebral hemorrhage,5
custom:intracranial_hemorrhage,Intracranial hemorrhage,NA,NA,Intracranial hemorrhage,5
custom:iron_deficiency_anemia_secondary_to_blood_loss_chronic,Iron deficiency anemia secondary to blood loss chronic,NA,NA,Iron deficiency anemia secondary to blood loss chronic,5
custom:iron_deficiency_anemias,Iron deficiency anemias,NA,NA,Iron deficiency anemias,5
custom:iron_deficiency_anemias_unspecified_or_not_due_to_blood_loss,Iron deficiency anemias unspecified or not due to blood loss,NA,NA,Iron deficiency anemias unspecified or not due to blood loss,5
custom:irregular_menstrual_cycle,Irregular menstrual cycle,NA,NA,Irregular menstrual cycle,5
custom:ischemic_heart_disease,Ischemic Heart Disease,NA,NA,Ischemic Heart Disease,5
custom:keratitis,Keratitis,NA,NA,Keratitis,5
custom:labyrinthitis,Labyrinthitis,NA,NA,Labyrinthitis,5
custom:late_effects_of_cerebrovascular_disease,Late effects of cerebrovascular disease,NA,NA,Late effects of cerebrovascular disease,5
custom:low_myopia,Low myopia,NA,NA,Low myopia,5
custom:lump_or_mass_in_breast,Lump or mass in breast,NA,NA,Lump or mass in breast,5
custom:macular_degeneration_senile_of_retina_nos,Macular degeneration senile of retina NOS,NA,NA,Macular degeneration senile of retina NOS,5
custom:macular_puckering_of_retina,Macular puckering of retina,NA,NA,Macular puckering of retina,5
custom:malignant_neoplasm_of_bladder,Malignant neoplasm of bladder,NA,NA,Malignant neoplasm of bladder,5
custom:malignant_neoplasm_of_female_breast,Malignant neoplasm of female breast,NA,NA,Malignant neoplasm of female breast,5
custom:malignant_neoplasm_of_liver_primary,Malignant neoplasm of liver primary,NA,NA,Malignant neoplasm of liver primary,5
custom:malignant_neoplasm_of_rectum_rectosigmoid_junction_and_anus,Malignant neoplasm of rectum rectosigmoid junction and anus,NA,NA,Malignant neoplasm of rectum rectosigmoid junction and anus,5
custom:malignant_neoplasm_other,Malignant neoplasm other,NA,NA,Malignant neoplasm other,5
custom:manlignant_and_unknown_neoplasms_of_brain_and_nervous_system,Manlignant and unknown neoplasms of brain and nervous system,NA,NA,Manlignant and unknown neoplasms of brain and nervous system,5
custom:menieres_disease,Menieres disease,NA,NA,Menieres disease,5
custom:microscopic_hematuria,Microscopic hematuria,NA,NA,Microscopic hematuria,5
custom:mild_cognitive_impairment,Mild cognitive impairment,NA,NA,Mild cognitive impairment,5
custom:mixed_hyperlipidemia,Mixed hyperlipidemia,NA,NA,Mixed hyperlipidemia,5
custom:moderate_hyperopia,Moderate hyperopia,NA,NA,Moderate hyperopia,5
custom:moderate_myopia,Moderate myopia,NA,NA,Moderate myopia,5
custom:myocardial_infarction,Myocardial infarction,NA,NA,Myocardial infarction,5
custom:neoplasm_of_uncertain_behavior,Neoplasm of uncertain behavior,NA,NA,Neoplasm of uncertain behavior,5
custom:neoplasm_of_unspecified_nature_of_digestive_system,Neoplasm of unspecified nature of digestive system,NA,NA,Neoplasm of unspecified nature of digestive system,5
custom:nephritis_and_nephropathy_without_mention_of_glomerulonephritis,Nephritis and nephropathy without mention of glomerulonephritis,NA,NA,Nephritis and nephropathy without mention of glomerulonephritis,5
custom:nephritis_nephrosis_renal_sclerosis,Nephritis nephrosis renal sclerosis,NA,NA,Nephritis nephrosis renal sclerosis,5
custom:neurological_disorders,Neurological disorders,NA,NA,Neurological disorders,5
custom:noninflammatory_disorders_of_ovary_fallopian_tube_and_broad_ligament,Noninflammatory disorders of ovary fallopian tube and broad ligament,NA,NA,Noninflammatory disorders of ovary fallopian tube and broad ligament,5
custom:nonspecific_findings_on_examination_of_blood,Nonspecific findings on examination of blood,NA,NA,Nonspecific findings on examination of blood,5
custom:nontoxic_multinodular_goiter,Nontoxic multinodular goiter,NA,NA,Nontoxic multinodular goiter,5
custom:nontoxic_nodular_goiter,Nontoxic nodular goiter,NA,NA,Nontoxic nodular goiter,5
custom:nontoxic_uninodular_goiter,Nontoxic uninodular goiter,NA,NA,Nontoxic uninodular goiter,5
custom:occlusion_of_cerebral_arteries,Occlusion of cerebral arteries,NA,NA,Occlusion of cerebral arteries,5
custom:open_angle_glaucoma,Open angle glaucoma,NA,NA,Open angle glaucoma,5
custom:organic_or_persistent_insomnia,Organic or persistent insomnia,NA,NA,Organic or persistent insomnia,5
custom:osteoporosis_nos,Osteoporosis NOS,NA,NA,Osteoporosis NOS,5
custom:osteoporosis_osteopenia_and_pathological_fracture,Osteoporosis osteopenia and pathological fracture,NA,NA,Osteoporosis osteopenia and pathological fracture,5
custom:other_and_nonspecific_abnormal_cytological_histological_and_immunological_findings,Other and nonspecific abnormal cytological histological and immunological findings,NA,NA,Other and nonspecific abnormal cytological histological and immunological findings,5
custom:other_and_unspecified_disorders_of_back,Other and unspecified disorders of back,NA,NA,Other and unspecified disorders of back,5
custom:other_anemias,Other anemias,NA,NA,Other anemias,5
custom:other_arthropathies,Other arthropathies,NA,NA,Other arthropathies,5
custom:other_biliary_tract_disease,Other biliary tract disease,NA,NA,Other biliary tract disease,5
custom:other_cerebral_degenerations,Other cerebral degenerations,NA,NA,Other cerebral degenerations,5
custom:other_chronic_ischemic_heart_disease_unspecified,Other chronic ischemic heart disease unspecified,NA,NA,Other chronic ischemic heart disease unspecified,5
custom:other_chronic_nonalcoholic_liver_disease,Other chronic nonalcoholic liver disease,NA,NA,Other chronic nonalcoholic liver disease,5
custom:other_disorders_of_cervical_region,Other disorders of cervical region,NA,NA,Other disorders of cervical region,5
custom:other_disorders_of_eye,Other disorders of eye,NA,NA,Other disorders of eye,5
custom:other_disorders_of_liver,Other disorders of liver,NA,NA,Other disorders of liver,5
custom:other_disorders_of_metabolism,Other disorders of metabolism,NA,NA,Other disorders of metabolism,5
custom:other_disorders_of_pancreatic_internal_secretion,Other disorders of pancreatic internal secretion,NA,NA,Other disorders of pancreatic internal secretion,5
custom:other_disorders_of_purine_and_pyrimidine_metabolism,Other disorders of purine and pyrimidine metabolism,NA,NA,Other disorders of purine and pyrimidine metabolism,5
custom:other_disorders_of_the_kidney_and_ureters,Other disorders of the kidney and ureters,NA,NA,Other disorders of the kidney and ureters,5
custom:other_disorders_of_thyroid,Other disorders of thyroid,NA,NA,Other disorders of thyroid,5
custom:other_disorders_of_urethra_and_urinary_tract,Other disorders of urethra and urinary tract,NA,NA,Other disorders of urethra and urinary tract,5
custom:other_forms_of_chronic_heart_disease,Other forms of chronic heart disease,NA,NA,Other forms of chronic heart disease,5
custom:other_hypertensive_complications,Other hypertensive complications,NA,NA,Other hypertensive complications,5
custom:other_inflammatory_spondylopathies,Other inflammatory spondylopathies,NA,NA,Other inflammatory spondylopathies,5
custom:other_mental_disorder,Other mental disorder,NA,NA,Other mental disorder,5
custom:other_nonmalignant_breast_conditions,Other nonmalignant breast conditions,NA,NA,Other nonmalignant breast conditions,5
